system_name,group_type,team_name,rotational_number,bet_on_date,bet_on_group_id,bet_on_signal_id,bet_on,odd,unit,bet,game_data,game_type
Giulio System Trends,SOCCER Favorites ML,Sport Recife,Rotational #,2017-08-02 18:30:00,332922,15095,Bet on Moneyline,1.96 (-104),1,$100,"2nd Aug 2017, 18:30 EDT (4:30 PM MDT) Fluminense - Sport Recife",SOCCER
Henri System Trends,Soccer Scores Predictor Trend,Sport Recife,Rotational #,2017-08-02 18:30:00,332898,1691,Bet on Moneyline,1.96 (-104),3.5,$350,"2nd Aug 2017, 18:30 EDT (4:30 PM MDT) Fluminense - Sport Recife",SOCCER
Justin F System Trends,Soccer_Solid_Dogs,Bahia,Rotational #,2017-08-02 18:30:00,332928,1584,Bet on Underdog,3.72 (+272),1,$100,"2nd Aug 2017, 18:30 EDT (4:30 PM MDT) Bahia - Chapecoense-SC",SOCCER
Justin Soccer System Trends,Brazil Serie A Fav (Fav Trend),Sport Recife,Rotational #,2017-08-02 18:30:00,332901,51786,Bet on Moneyline,1.96 (-104),1,$100,"2nd Aug 2017, 18:30 EDT (4:30 PM MDT) Fluminense - Sport Recife",SOCCER
Karo System Trends,Karos Soccer UD Stalker,Bahia,Rotational #,2017-08-02 18:30:00,332888,8668,Bet on Underdog,3.72 (+272),1,$100,"2nd Aug 2017, 18:30 EDT (4:30 PM MDT) Bahia - Chapecoense-SC",SOCCER
Rider System 2 Trends,Soccer ML All,Bahia,Rotational #,2017-08-02 18:30:00,332897,9697,Bet on Underdog,3.72 (+272),1,$100,"2nd Aug 2017, 18:30 EDT (4:30 PM MDT) Bahia - Chapecoense-SC",SOCCER
Sports Dragon System Trends,SERIE A DE BRASIL,Chapecoense-SC,Rotational #,2017-08-02 18:30:00,332948,26571,Bet on Moneyline,2.02 (+102),9,$900,"2nd Aug 2017, 18:30 EDT (4:30 PM MDT) Bahia - Chapecoense-SC",SOCCER
Sports Dragon System Trends,SERIE A DE BRASIL,Sport Recife,Rotational #,2017-08-02 18:30:00,332949,26572,Bet on Moneyline,1.96 (-104),3.5,$350,"2nd Aug 2017, 18:30 EDT (4:30 PM MDT) Fluminense - Sport Recife",SOCCER
Sports Dragon System Trends,Crazy For Soccer,Fluminense,Rotational #,2017-08-02 18:30:00,332946,26569,Bet on Underdog,3.87 (+287),3,$300,"2nd Aug 2017, 18:30 EDT (4:30 PM MDT) Fluminense - Sport Recife",SOCCER
Sports Dragon System Trends,Crazy For Soccer,Bahia,Rotational #,2017-08-02 18:30:00,332947,26570,,3.72 (+272),3,$300,"2nd Aug 2017, 18:30 EDT (4:30 PM MDT)  -",SOCCER
Tom System Trends,Underdog Soccer Trend,Bahia,Rotational #,2017-08-02 18:30:00,332899,13006,Bet on Underdog,3.72 (+272),3,$300,"2nd Aug 2017, 18:30 EDT (4:30 PM MDT) Bahia - Chapecoense-SC",SOCCER
Weppa Andersson System Trends,weppas soccer Brazil serie A,Sport Recife,Rotational #,2017-08-02 18:30:00,332919,247,Bet on Moneyline,1.96 (-104),1,$100,"2nd Aug 2017, 18:30 EDT (4:30 PM MDT) Fluminense - Sport Recife",SOCCER
Christos System Trends,Pick The Winner Soccer,Atletico-MG,Rotational #,2017-08-02 20:00:00,332952,19639,Bet on -0.25 PointSpread,1.83 (-120),2.41,$240.96,"2nd Aug 2017, 20:00 EDT (6:00 PM MDT) Corinthians - Atletico-MG",SOCCER
Christos System Trends,Pick The Winner Soccer,Vitoria,Rotational #,2017-08-02 20:00:00,332953,19640,Bet on -0.25 PointSpread,1.96 (-104),2.08,$208.34,"2nd Aug 2017, 20:00 EDT (6:00 PM MDT) Ponte Preta - Vitoria",SOCCER
Sports Dragon System Trends,SERIE A DE BRASIL,Atletico-MG,Rotational #,2017-08-02 20:00:00,332950,26573,Bet on Moneyline,2.15 (+115),9,$900,"2nd Aug 2017, 20:00 EDT (6:00 PM MDT) Corinthians - Atletico-MG",SOCCER
Sports Dragon System Trends,SERIE A DE BRASIL,Vitoria,Rotational #,2017-08-02 20:00:00,332951,26574,Bet on Moneyline,2.27 (+127),1,$100,"2nd Aug 2017, 20:00 EDT (6:00 PM MDT) Ponte Preta - Vitoria",SOCCER
